Mould Code,Mould Name,ItemNo,Description
,,FGCHRSIGN010,CHAIR SIGNATURE 2018 - DARK BROWN
,,FGCHRSIGN016,CHAIR SIGNATURE 2018/2 - GREY 418C
,,FGCHRSIGN017,CHAIR SIGNATURE 2018/2 - ORANGE RAL 2002
,,FGCHRSIGN018,CHAIR SIGNATURE 2018/2 - NEW GREEN
.,,,
CHRSTADIUM00,CHAIR STADIUM IM,FGCHRSTDD002,CHAIR STADIUM IM - GREEN
,,FGCHRSTDD003,CHAIR STADIUM IM - YELLOW
,,FGCHRSTDD004,CHAIR STADIUM IM - BLUE
,,FGCHRSTDD005,CHAIR STADIUM IM - BROWN
.,,,
CHRSTDMKNB00,CHAIR STADIUM IM KNOB,SFCHRSTDK001,CHAIR STADIUM IM KNOB - GREEN
,,SFCHRSTDK002,CHAIR STADIUM IM KNOB - YELLOW
,,SFCHRSTDK004,CHAIR STADIUM IM KNOB - BLUE
,,SFCHRSTDK005,CHAIR STADIUM IM KNOB - BROWN
.,,,
CHSTAMLCH000,CHAIR BABY ARMLES 2011,FGCHRARML002,CHAIR BABY ARMLES 2011/1-GREEN
,,FGCHRARML003,CHAIR BABY ARMLES 2011/1-RED
,,FGCHRARML004,CHAIR BABY ARMLES 2011/1-BLUE
,,FGCHRBABY002,CHAIR BABY ARMLES 2011/1-PINK
.,,,
CHSTBBPTBK00,BABY POTTY BASKET,SFBBYPOTY002,BABY POTTY BASKET - WHITE
,,SFBBYPOTY011,BABY POTTY BASKET - PINK
.,,,
CHSTBBPTBT00,BABY POTTY BOTTOM,SFBBYPOTY004,BABY POTTY BOTTOM-PINK
,,SFBBYPOTY017,BABY POTTY BOTTOM-NEW BLUE
.,,,
CHSTBBPTCV00,BABY POTTY COVER,SFBBYPOTY015,BABY POTTY COVER-PINK
.,,,
CHSTBBRKBS00,CHAIR BABY ROCKING BACK & SEAT,SFCHRBABR011,CHAIR BABY ROCK. BCK&SEAT-GREEN
.,,,
CHSTBBRKLR00,CHAIR BABY ROCKING LEFT & RIGHT,SFCHRBABR029,CHAIR BABY ROCKING L&R PHX 01 -TURQ BLUE
.,,,
CHSTBBTKRI00,CHAIR BABY TIKIRI,FGCHRTKRI002,CHAIR BABY TIKIRI  I - GREEN
,,FGCHRTKRI003,CHAIR BABY TIKIRI  I - RED
,,FGCHRTKRI004,CHAIR BABY TIKIRI  I - PINK
,,FGCHRTKRI006,CHAIR BABY TIKIRI  I - BLUE
,,FGCHRTKRI007,CHAIR BABY TIKIRI  I - PURPLE
.,,,
CHSTBMCHST00,KIDDIES BM CHAIR SEAT,SFKIDCHAR001,KIDDIES BM CHAIR TW SEAT-ORANG
.,,,
CHSTKDDKBD00,KIDDIES DESK BODY,SFKIDDESB009,KIDDIES DESK BODY-BODY PINK
,,SFKIDDESB010,KIDDIES DESK BODY-TURQ BLUE
,,SFKIDDESB011,KIDDIES DESK BODY-ORANGE 219230233
.,,,
CHSTKDDKLG00,KIDDIES DESK LEG,SFKIDDESL008,KIDDIES DESK LEG-DEEP PINK
,,SFKIDDESL009,KIDDIES DESK LEG-TURQ BLUE
,,SFKIDDESL010,KIDDIES DESK LEG-ORANGE 219230233
.,,,
CHSTKDDKTP00,KIDDIES DESK TOP,SFKIDDEST008,KIDDIES DESK TOP-YELLOW 170505
,,SFKIDDEST009,KIDDIES DESK TOP-GREEN 389C
.,,,
CHSTKDSTKT00,KIDDIES STUDY KIT,FGKITSTUD001,KIDDIES STUDY KIT - RED
.,,,
CHSTOLI24000,CHAIR OLI,FGCHROLIML01,CHAIR OLI MULTI - CANDY
,,FGCHROLIML02,CHAIR OLI MULTI - GRASS
,,FGCHROLIML03,CHAIR OLI MULTI - OCEAN
,,FGCHROLIML04,CHAIR OLI MULTI - LIME
,,FGCHROLIML05,CHAIR OLI MULTI - PUMPKIN
,,FGCHROLISI01,CHAIR OLI SINGLE - CANDY
,,FGCHROLISI02,CHAIR OLI SINGLE - GRASS
,,FGCHROLISI03,CHAIR OLI SINGLE - OCEAN
,,FGCHROLISI04,CHAIR OLI SINGLE - LIME
,,FGCHROLISI05,CHAIR OLI SINGLE - PUMPKIN
.,,,
CHSTSF201100,CHAIR BABY SOFA 2011,FGCHRSOFA007,CHAIR BABY SOFA 2011/2 - GREEN
,,FGCHRSOFA008,CHAIR BABY SOFA 2011/2 - RED
,,FGCHRSOFA009,CHAIR BABY SOFA 2011/2 - BLUE
,,FGCHRSOFA053,CHAIR BABY SOFA 2016-BLUE
,,FGCHRSOFA057,CHAIR BABY SOFA 2011/2 - PINK
.,,,
CONTLUN20160,LUNCH BOX 2016 BOTTOM,SFLUNBXBT003,LUNCH BOX 2016 BOTTOM - CLEAR
.,,,
CONTLUNBXSQ0,LUNCH BOX SQ BOT,SFLUNBXBT002,LUNCH BOX SQ BOT - CLEAR
.,,,
CONTLUNBXSQL,LUNCH BOX SQ LID,SFLUNBXTP001,LUNCH BOX SQ LID - CLEAR
,,SFLUSQLBN001,LUNCH BOX SQ LID - BENNEU WHITE NEW
,,SFLUSQLID001,LUNCH BOX SQ LID - BLUE 313C
,,SFLUSQLID002,LUNCH BOX SQ LID - GREEN 362C
.,,,
CRTASPFC1200,CRATE ASIA PACIFIC BREWRY 2012,FGCRTASPS001,CRATE ASIA PACIFIC BREWRY 2012 BLACK
,,FGCRTASPS002,CRATE ASIA PACFC BREWRY 2012-R
,,FGCRTASPS003,CRATE ASIA PACIFIC BREWERY 2012 BLUE
,,FGCRTASPS004,CRATE ASIA PACFC BREWRY 2012- BROWN (R)
.,,,
CRTBC1800000,CRATE BC 180,FGCRTB180002,CRATE BC 180  - RED
,,FGCRTB180003,CRATE BC 180  - BROWN
,,FGCRTB180004,CRATE BC 180  - YELLOW
,,FGCRTB180005,CRATE BC 180 - CAD ORANGE
,,FGCRTB180006,CRATE BC 180  - BLUE
,,FGCRTDCS1800,CRATE DCSL BC 180 (R) 2017 - RED
,,FGCRTDCS1801,CRATE DCSL BC 180 (R) 2017 - GREEN
,,FGCRTDCS1802,CRATE DCSL BC 180 (R) 2017 - BLUE
.,,,
CRTBEER62500,CRATE BEER BC 625,FGCRTBEER001,CRATE BEER BC 625 GREEN
,,FGCRTBEER003,CRATE BEER BC 625 YELLOW
,,FGCRTBEER004,CRATE BEER BC 625 BLUE
,,FGCRTBEER008,CRATE BEER MILLERS BREWERY-RE
,,FGCRTBEER010,CRATE BEER YELLOW - RECY
,,FGCRTHGRN001,CRATE HINGURANA DISTIL BC 625
,,FGCRTLBRW001,CRATE LION BREWERY BC 625 (R) GREEN
,,FGCRTLION001,CRATE LION BREWERY BC 625
,,FGCRTLION002,CRATE LION BREWERY BC 625 (R) BROWN
,,FGCRTPINT001,CRATE BEER BC 625 BROWN
.,,,
CRTBEER62501,CRATE BEER BC 625-2017,FGCRTBC62501,CRATE BEER BC 625 2017 AMERICAN WATER BLUE
,,FGCRTBEER011,CRATE BEER BC 625 2017 BLUE
,,FGCRTBEER012,CRATE BEER 2017 YELLOW - RECY
,,FGCRTBEER013,CRATE BEER BC 625 2017 ? BROWN
,,FGCRTBEER014,CRATE BEER BC 625 2017 ? YELLOW
,,FGCRTBEER015,CRATE BEER BC 625 2017 GREEN
,,FGCRTBEER016,CRATE BEER 2017 RED - RECY
,,FGCRTBEER017,CRATE BEER BC 625 2017 RED
,,FGCRTBEER018,CRATE BEER BLACK - RECY
,,FGCRTBEER019,CRATE BEER BLACK (AJITH PUTHA) - RECY
,,FGCRTBEER021,CRATE BEER 2017 BLACK - RECY
,,FGCRTLION004,CRATE LION BREWERY BC 625 2017 (R) BROWN
,,FGCRTLION005,CRATE LION BREWERY BC 625 2017 (R) GREEN
,,FGCRTLION006,CRATE LION BREWERY BC 625 2017 (R) BROWN (NEW)
,,FGCRTLION009,CRATE LION BREWERY BC 625 2017 - BROWN (50% VIRGIN)
,,FGCRTLION010,CRATE LION BREWERY BC 625 2017 PHX01 (R) BROWN
,,FGCRTBEER022,CRATE BEER BC 625 2017 ? BROWN(RECYCLE)
,,FGCRTLION011,CRATE LION BREWERY BC 625 2017 80% RECYCLE (R) BROWN
,,FGCRTLION012,CRATE LION BREWERY BC 625 2017 RECYCLE (R) NEW BLACK
,,FGCRTLION013,CRATE LION BREWERY BC 625 2017 RECYCLE (R)ˇ PHX 01 NEW BLACK
.,,,
CRTBOT200 M00,CRATE BOTTLE 200ML,FGCRTBOTL001,CRATE - BOTTLE 200ML-YELLOW
,,FGCRTBOTL002,CRATE - BOTTLE 200ML-ORANGE (R)
,,FGCRTBOTL003,CRATE - BOTTLE 200ML-GREEN
,,FGCRTBTL2001,CRATE BOTTLE 200ML - BROWN
,,FGCRTBOTL004,CRATE - BOTTLE 200ML-ORANGE
,,FGCRTBOTL005,CRATE - BOTTLE 200ML-BLUE
,,FGCRTBOTL006,CRATE - BOTTLE 200ML-BLACK
.,,,
CRTC1216LD00,CRATE VEGETABLE AC-16/12 LID - SILVER,FGCRTVGME124,CRATE VEGETABLE AC-16/12 LID - SILVER
.,,,
CRTC24000000,CRATE C-24 2024,FGCRTC250029,CRATE C-24 MESH - YELLOW
,,FGCRTC250030,CRATE C-24 MESH - YELLOW (RECYCLE)
.,,,
CRTC25000000,CRATE C-25,FGCRTC250001,CRATE C-25 MESH - GREEN
,,FGCRTC250002,CRATE C-25 MESH - RED
,,FGCRTC250003,CRATE C-25 MESH - YELLOW
,,FGCRTC250004,CRATE C-25 MESH - BLUE
,,FGCRTC250007,CRATE C-25 FULLY COVERD - YELL
,,FGCRTC250008,CRATE C-25 FULLY COVERD - BLUE
,,FGCRTC250009,CRATE C-25 MESH ? FREEZER - BLUE
,,FGCRTC250010,CRATE C-25 MESH ? BLUE ? RECYCLE
,,FGCRTC250011,CRATE C-25 MESH ? BLACK ? RECYCLE
,,FGCRTC250012,CRATE C-25 MESH ? GREEN ? RECYCLE
,,FGCRTC250013,CRATE C-25 MESH ? YELLOW ? RECYCLE
,,FGCRTC250014,CRATE C-25 MESH - BLACK
,,FGCRTC250015,CRATE C-25 MESH - ORANGE
,,FGCRTC250028,CRATE C-25 MESH-YELLOW ( 30% VIGIN+70% CAR RECY)
.,,,
CRTC25000001,CRATE C-25 -2018,FGCRTC250017,CRATE C-25 MESH 2018 - GREEN
,,FGCRTC250018,CRATE C-25 MESH 2018 - RED
,,FGCRTC250019,CRATE C-25 MESH 2018 - YELLOW
,,FGCRTC250020,CRATE C-25 MESH 2018 - BLUE
,,FGCRTC250021,CRATE C-25 MESH 2018 ? FREEZER ? BLUE
,,FGCRTC250022,CRATE C-25 MESH 2018 ? BLUE ? RECYCLE
,,FGCRTC250023,CRATE C-25 MESH 2018 ? GREEN ? RECYCLE
,,FGCRTC250024,CRATE C-25 MESH 2018 ? YELLOW ? RECYCLE
,,FGCRTC250025,CRATE C-25 MESH 2018 ? RED ? RECYCLE
,,FGCRTC250026,CRATE C-25 MESH 2018 - BLACK
,,FGCRTC250027,CRATE C-25 MESH 2018 PHX 01 - BLACK
.,,,
CRTC32BT0000,CRATE C-32 NEW,FGCRTC32E017,CRATE C-32 NEW -ECONOMICAL
,,FGCRTC32S012,CRATE C-32 NEW SUPERIOR  - GRE
,,FGCRTC32S013,CRATE C-32 NEW SUPERIOR  - RED
,,FGCRTC32S015,CRATE C-32 NEW SUPERIOR  - YEL
,,FGCRTC32S017,CRATE C-32 NEW SUPERIOR  - BLU
,,FGCRTC32S018,CRATE C-32 NEW SUPERIOR  - GRAY
,,FGCRTC32S020,CRATE C-32 NEW SUPERIOR   PHX 01 - BLACK
,,FGCRTC32S021,CRATE C-32 NEW SUPERIOR - MEROON
,,FGCRTC32S022,CRATE C-32 NEW SUPERIOR - VIOLET
.,,,
CRTC32HD0000,CRATE C-32 HANDLE NEW,FGCRTC32H003,CRATE C-32 HANDLE NEW - GREEN
,,FGCRTC32H004,CRATE C-32 HANDLE NEW - RED
,,FGCRTC32H006,CRATE C-32 HANDLE NEW - YELLOW
,,FGCRTC32H007,CRATE C-32 HANDLE NEW -  BLACK
,,FGCRTC32H008,CRATE C-32 HANDLE NEW -  BLUE
.,,,
CRTC32HD0001,CRATE C-32 HANDLE 2015,FGCRTC32H011,CRATE C-32 HANDLE (2015) - GREEN
,,FGCRTC32H012,CRATE C-32 HANDLE (2015) - RED
,,FGCRTC32H013,CRATE C-32 HANDLE (2015) - BLUE
,,FGCRTC32H014,CRATE C-32 HANDLE (2015) - YELLOW
,,FGCRTC32H015,CRATE C-32 HANDLE (2015) ? BLACK
.,,,
CRTC32LD0000,CRATE C-32 LID 2016,FGCRTC32L001,CRATE C-32 LID (2016)  - GREEN
,,FGCRTC32L002,CRATE C-32 LID (2016)  - RED
,,FGCRTC32L003,CRATE C-32 LID (2016)  - BLUE
,,FGCRTC32L004,CRATE C-32 LID (2016)  - YELLOW
,,FGCRTC32L006,CRATE C-32 LID (2016)  - BLACK
,,FGCRTC32L007,CRATE C-32 LID ˇ- GREY
.,,,
CRTCKNBTPN00,CHICKEN CAGE BOTTOM -2018,SFCRTCHCB000,CHICKEN CAGE BOTTOM - RED
,,SFCRTCHCB001,CHICKEN CAGE BOTTOM - ORANGE
,,SFCRTCHCB002,CHICKEN CAGE BOTTOM - BLUE
,,SFCRTCHCB003,CHICKEN CAGE BOTTOM - GREEN
,,SFCRTCHCB004,CHICKEN CAGE BOTTOM (CO) - ORANGE
,,SFCRTCHCB005,CHICKEN CAGE BOTTOM (CO) - GREEN
,,SFCRTCHCB006,CHICKEN CAGE BOTTOM - DARK BLUE
,,SFCRTCHCB007,CHICKEN CAGE BOTTOM - BLACK
,,SFCRTCHCB008,CHICKEN CAGE BOTTOM (CO) - BEIGE
,,SFCRTCHCB009,CHICKEN CAGE BOTTOM NEW (CO) - BLUE
,,SFCRTCHCB010,CHICKEN CAGE BOTTOM - ORANGE NEW
.,,,
CRTCKNDRPN00,CHICKEN CAGE TOP DOOR -2018,SFCRTCHCTD00,CHICKEN CAGE TOP DOOR - RED
,,SFCRTCHCTD01,CHICKEN CAGE TOP DOOR - ORANGE
,,SFCRTCHCTD02,CHICKEN CAGE TOP DOOR - BLUE
,,SFCRTCHCTD03,CHICKEN CAGE TOP DOOR - GREEN
,,SFCRTCHCTD04,CHICKEN CAGE TOP DOOR (CO) - ORANGE
,,SFCRTCHCTD05,CHICKEN CAGE TOP DOOR (CO) - GREEN
,,SFCRTCHCTD06,CHICKEN CAGE TOP DOOR - DARK BLUE
,,SFCRTCHCTD07,CHICKEN CAGE TOP DOOR - ORANGE (NEW)
,,SFCRTCHCTD08,CHICKEN CAGE TOP DOOR (CO) - BEIGE
,,SFCRTCHCTD10,CHICKEN CAGE TOP DOOR NEW (CO) - WHITE
.,,,
CRTCKNLOCK00,CHICKEN CAGE LOCK -2018,SFCRTCHCL000,CHICKEN CAGE LOCK - RED
,,SFCRTCHCL001,CHICKEN CAGE LOCK - BLACK
.,,,
CRTCKNSDPN00,CHICKEN CAGE SHORT & LONG SIDE PANEL -2018,SFCRTCHCSP00,CHICKEN CAGE SHORT & LONG SIDE PANEL - RED
,,SFCRTCHCSP01,CHICKEN CAGE SHORT & LONG SIDE PANEL - ORANGE
,,SFCRTCHCSP02,CHICKEN CAGE SHORT & LONG SIDE PANEL - BLUE
,,SFCRTCHCSP03,CHICKEN CAGE SHORT & LONG SIDE PANEL - YELLOW
,,SFCRTCHCSP04,CHICKEN CAGE SHORT & LONG SIDE PANEL(CO) - ORANGE
,,SFCRTCHCSP05,CHICKEN CAGE SHORT & LONG SIDE PANEL PHX01 - BLUE
,,SFCRTCHCSP09,CHICKEN CAGE SHORT & LONG SIDE PANEL - DARK BLUE
,,SFCRTCHCSP11,CHICKEN CAGE SHORT & LONG SIDE PANEL - WHITE
,,SFCRTCHCSP13,CHICKEN CAGE SHORT & LONG SIDE PANEL(CO) - BEIGE
,,SFCRTCHCSP14,CHICKEN CAGE SHORT & LONG SIDE PANEL NEW (CO) - WHITE
,,SFCRTCHCSP15,CHICKEN CAGE SHORT & LONG SIDE PANEL NEW (CO) - BLUE NEW
.,,,
CRTCKNTPPN00,CHICKEN CAGE TOP -2018,SFCRTCHCT000,CHICKEN CAGE TOP - RED
,,SFCRTCHCT001,CHICKEN CAGE TOP - ORANGE
,,SFCRTCHCT002,CHICKEN CAGE TOP - BLUE
,,SFCRTCHCT003,CHICKEN CAGE TOP - GREEN
,,SFCRTCHCT004,CHICKEN CAGE TOP (CO) - ORANGE
,,SFCRTCHCT005,CHICKEN CAGE TOP (CO) - GREEN
,,SFCRTCHCT006,CHICKEN CAGE TOP - DARK BLUE
,,SFCRTCHCT007,CHICKEN CAGE TOP - BLACK
,,SFCRTCHCT008,CHICKEN CAGE TOP (CO) - BEIGE
,,SFCRTCHCTD09,CHICKEN CAGE TOP NEW (CO) - BLUE
,,SFCRTCHCT009,CHICKEN CAGE TOP - ORANGE NEW
.,,,
CRTDCS3D1000,CRATE DC-S3D1,FGCRTDCS3D01,CRATE DC-S3D1 - BLUE
.,,,
CRTDCSL37500,CRATE DCSL 375ML,FGCRTBTL3750,CRATE BOTTLE 375ML BLUE 2012
,,FGCRTDCSL018,CRATE DCSL 375ML ORANGE 2012
,,FGCRTDCSL025,CRATE DCSL 375ML RED 2012 (R)
,,FGCRTDCSL026,CRATE DCSL 375ML GREEN 2012 (R)
,,FGCRTDCSL027,CRATE DCSL 375ML BLUE 2012 (R)
,,FGCRTDCSL033,CRATE DCSL 375ML (R) 2017 - GREEN
,,FGCRTDCSL034,CRATE DCSL 375ML (R) 2017 - RED
,,FGCRTDCSL036,CRATE DCSL 375ML (R) 2017 - BLUE
,,FGCRTDCSL037,CRATE DCSL 375ML (R) 2017 - YELLOW
.,,,
CRTDCSL75000,CRATE DCSL BC 750ML,FGCRTDCSL004,CRATE DCSL BC 750ML 2011 (R)-RED
,,FGCRTDCSL008,CRATE DCSL BC 750ML 2011 (R)-BLUE
,,FGCRTDCSL009,CRATE DCSL BC 750ML ORANGE
,,FGCRTDCSL010,CRATE DCSL BC 750ML 2011 (R)-GREEN
,,FGCRTDCSL028,CRATE DCSL BC 750ML 2011 (R)-ORANGE
,,FGCRTDCSL029,CRATE DCSL BC 750ML(R) 2017 - BLUE
,,FGCRTDCSL030,CRATE DCSL BC 750ML(R) 2017 - GREEN
,,FGCRTDCSL031,CRATE DCSL BC 750ML(R) 2017 - ORANGE
,,FGCRTDCSL032,CRATE DCSL BC 750ML(R) 2017 - RED
,,FGCRTDCSL041,CRATE DCSL BC 750ML - BROWN
,,FGCRTDCSL042,CRATE DCSL BRANDY BC 625 - BLACK
.,,,
CRTDCSL75001,CRATE DCSL BC 750ML 2,FGCRTDCSL019,CRATE BC 750ML HIGURANA - BLUE
.,,,
CRTEGG000000,CRATE EGG,FGCRTEGG0001,CRATE EGG - GREEN
,,FGCRTEGG0003,CRATE EGG - YELLOW
,,FGCRTEGG0004,CRATE EGG - YELLOW (NEW)
,,FGCRTEGG0005,CRATE EGG - GREEN (NEW)
,,FGCRTEGG0009,CRATE EGG - BLACK
,,FGCRTEGG0007,CRATE EGG - BLUE (NEW)
,,FGCRTEGG0006,CRATE EGG - CODE 50 - 360 EGGS RED
,,FGCRTEGG0008,CRATE EGG - YELLOW  RECYCLE
.,,,
CRTELE400ML0,CRATE ELEPHANT HOUSE 400MLˇ,FGCRTELPN001,CRATE ELEPHANT HOUSE 400ML
,,FGCRTELPN002,CRATE ELEPHANT HOUSE 400ML (R) GREEN
.,,,
CRTFRZPC6000,CRATE FREEZER PC60,FGCRTPC60001,CRATE FREEZER PC60 - WHITE
,,FGCRTPC60002,CRATE FREEZER PC60 ? GREEN
,,FGCRTPC60003,CRATE FREEZER PC60 - RED
,,FGCRTPC60004,CRATE FREEZER PC60 - YELLOW
,,FGCRTPC60006,CRATE FREEZER PC60 - BLUE
,,FGCRTPC60008,CRATE FREEZER PC60 - PINK
,,FGCRTPC60009,CRATE FREEZER PC60 - WHITE IVORY
,,FGCRTPC60010,CRATE FREEZER PC60 - ORANGE
,,FGCRTPC60011,CRATE FREEZER PC60 - LT.BLUE
.,,,
CRTFSHMC4000,CRATE FISH NEW MC40,FGCRTFISH002,CRATE FISH NEW MC40 - GREEN
,,FGCRTFISH003,CRATE FISH NEW MC40 - RED
,,FGCRTFISH004,CRATE FISH NEW MC40 - YELLOW
,,FGCRTFISH005,CRATE FISH NEW MC40 - BLUE
,,FGCRTFISH010,CRATE FISH MC 41 W/O LID - BLUE
,,FGCRTFISH014,CRATE FISH  - BLACK
,,FGCRTFISH015,CRATE FISH  - YELLOW
,,FGCRTFISH016,CRATE FISH NEW MC40 ? GRAY
,,FGCRTFISH018,CRATE FISH MC41 ? RED
,,FGCRTFISH020,CRATE FISH NEW MC40 FREEZER - RED
,,FGCRTFISH021,CRATE FISH NEW MC40 FREEZER - YELLOW
,,FGCRTFISH022,CRATE FISH NEW MC40 FREEZER - BLUE
,,FGCRTFISH026,CRATE FISH MC 41 W/O LID - GREEN
,,FGCRTFISH027,CRATE FISH NEW MC40 - ORANGE
,,FGCRTFISH028,CRATE FISH NEW MC40 ? SILVER
,,FGCRTFISH030,CRATE FISH NEW MC40 FREEZER ? BROWN
.,,,
CRTFSHMC40L0,CRATE FISH NEW MC40 LID,FGCRTLDFIS01,CRATE FISH NEW MC40 LID - SILVER
.,,,
CRTFSHMC41L0,CRATE FISH LID MC 41,SFCRTFLID001,CRATE FISH LID MC 41- BLUE
,,SFCRTFLID002,CRATE FISH LID ? BLACK
,,SFCRTFLID003,CRATE FISH LID ? YELLOW
,,SFCRTFLID004,CRATE FISH LID MC41 ? RED
,,SFCRTFLID005,CRATE FISH LID - GREEN
,,SFCRTFLID012,CRATE FISH LID LOCK ? BLACK
,,SFCRTFLID014,CRATE FISH LID MC 41- GREY
.,,,
CRTHLND20P00,CRATE-HIGHLAND 20PCK,FGCRTHG20001,CRATE-HIGHLAND 20PCK-BLACK
,,FGCRTHG20002,CRATE-HIGHLAND 20PCK-RED
,,FGCRTHG20004,CRATE-HIGHLAND 20PCK-BROWN
.,,,
CRTHLND30P00,CRATE-HIGHLAND 30PCK,FGCRTHG30002,CRATE-HIGHLAND 30PCK-RED
,,FGCRTHG30004,CRATE-HIGHLAND 30PCK-BLACK
,,FGCRTHG30005,CRATE-HIGHLAND 30PCK-BROWN
.,,,
CRTMC1425000,CRATE MC 25L/14L,FGCRTM25L001,CRATE MC-25L ? BLUE
,,FGCRTM25L002,CRATE MC-14L - BLUE
,,FGCRTM25L003,CRATE MC-25L ? YELLOW
,,FGCRTM25L004,CRATE MC-25L - RED
,,FGCRTM25L005,CRATE MC-14L ? RED
,,FGCRTM25L006,CRATE MC-14L ? YELLOW
,,FGCRTM25L007,CRATE MC-14L ? GREEN
,,FGCRTM25L008,CRATE MC-25L ? BLUE 1
,,FGCRTM25L009,CRATE MC-14L - GRAY
,,FGCRTM25L010,CRATE MC-14L ? ORANGE
.,,,
CRTNSTLRG000,CRATE NESTABLE LARGE,FGCRTNSTL002,CRATE NESTABLE LARGE - GREEN
,,FGCRTNSTL003,CRATE NESTABLE LARGE - RED
,,FGCRTNSTL005,CRATE NESTABLE LARGE - YELLOW
,,FGCRTNSTL007,CRATE NESTABLE LARGE - BLUE
,,FGCRTNSTL012,CRATE NESTABLE LARGE - BLACK
.,,,
CRTPEPSI3000,CRATE PEPSI,FGCRTPEPS002,CRATE PEPSI  - BLUE (RECYCLE)
,,FGCRTPEPS006,CRATE PEPSI  BC 300 - BROWN
.,,,
CRTROCK12P00,CRATE ROCKLAND 12PCK,FGCRTRCKL001,CRATE-ROCKLAND 12PCK-BROWN
.,,,
CRTTOOLBX000,CRATE TOOL BOX,FGCRTTLBOX001,CRATE TOOL BOX-BLUE
,,FGCRTTLBOX002,CRATE TOOL BOX-YELLOW
,,FGCRTTLBOX003,CRATE TOOL BOX-RED
,,FGCRTTLBOX004,CRATE TOOL BOX-BLUE (R)
,,FGCRTTLBOX005,CRATE TOOL BOX-BLACK
,,FGCRTTLBOX006,CRATE TOOL BOX PHX01 - BLUE
,,FGCRTTLBOX007,CRATE TOOL BOX-GREY
.,,,
CRTTRAYEGG00,TRAY EGG,FGCRTTEGG001,TRAY EGG - GREEN
,,FGCRTTEGG002,TRAY EGG - RED
,,FGCRTTEGG003,TRAY EGG - YELLOW
,,FGCRTTEGG004,TRAY EGG - BLUE
,,FGCRTTEGG005,TRAY EGG - PINK
,,FGCRTTEGG006,TRAY EGG - 3 COLOUR RED
,,FGCRTTEGG007,TRAY EGG - L/BLUE
.,,,
CRTVEGAC1500,CRATE VEGETABLE AC-15 2018,FGCRTAC15001,CRATE VEGETABLE AC-15 RED
,,FGCRTAC15002,CRATE VEGETABLE AC-15 BLUE
,,FGCRTAC15003,CRATE VEGETABLE AC-15 GREEN
,,FGCRTAC15004,CRATE VEGETABLE AC-15 YELLOW
,,FGCRTAC15005,CRATE VEGETABLE AC-15 FREEZER YELLOW
,,FGCRTAC15006,CRATE VEGETABLE AC-15 FREEZER YELLOW
.,,,
CRTVEGAC1600,CRATE VEGETABLE C-16,FGCRTBC26005,CRATE VEGETABLE BC-16 GREEN
,,FGCRTVGTB002,CRATE VEGETABLE AC-16 GREEN
,,FGCRTVGTB003,CRATE VEGETABLE AC-16 RED
,,FGCRTVGTB005,CRATE VEGETABLE AC-16 YELLOW
,,FGCRTVGTB006,CRATE VEGETABLE AC-16 BLACK
,,FGCRTVGTB007,CRATE VEGETABLE AC-16 FREEZER  ORANGE
,,FGCRTVGTB008,CRATE VEGETABLE AC-16 L.BLUE
,,FGCRTVGTB009,CRATE VEGETABLE AC-16 BLUE
,,FGCRTVGTB012,CRATE VEGETABLE AC-16 ORANGE
,,FGCRTVGTB064,CRATE VEGETABLE AC-16 VIOLET
.,,,
CRTVEGAC2300,CRATE VEGETABLE C-23,FGCRTBC23003,CRATE VEGETABLE BC-23 BLACK
,,FGCRTBC23004,CRATE VEGETABLE BC-23 BLUE
,,FGCRTVGTB013,CRATE VEGETABLE AC-23 GREEN
,,FGCRTVGTB015,CRATE VEGETABLE AC-23 RED
,,FGCRTVGTB017,CRATE VEGETABLE AC-23 YELLOW
,,FGCRTVGTB020,CRATE VEGETABLE AC-23 BLUE
,,FGCRTVGTB023,CRATE VEGETABLE BC-23 (CQD) YELLOW FREEZER
.,,,
CRTVEGAC2600,CRATE VEGETABLE C-26,FGCRTBC26004,CRATE VEGETABLE BC-26 YELLOW
,,FGCRTC260001,CRATE VEGETABLE AC-26 GREEN
,,FGCRTC260002,CRATE VEGETABLE AC-26 RED
,,FGCRTC260003,CRATE VEGETABLE AC-26 BLUE
,,FGCRTC260005,CRATE VEGETABLE AC-26 BROWN
,,FGCRTC260006,CRATE VEGETABLE AC-26 ORANGE
,,FGCRTC260007,CRATE VEGETABLE AC-26 ORANGE
,,FGCRTC260008,CRATE VEGETABLE AC-26 BLUE (FINAGLE LANKA)
,,FGCRTC260010,CRATE VEGETABLE AC-26 - BLACK (FINAGLE)
.,,,
CRTVEGAC2900,CRATE VEGETABLE C-29,FGCRTVGTB033,CRATE VGTBL MESHED  AC-29-YLW
,,FGCRTVGTB034,CRATE VGTBL MESHED  AC-29-BLUE
,,FGCRTVGTB053,CRATE VGTBL MESHED  AC-29 FREEZER GREEN
,,FGCRTVGTB054,CRATE VGTBL MESHED  AC-29 FREEZER YELLOW
,,FGCRTVGTB057,CRATE VGTBL MESHED  AC-29 FREEZER  BLUE
,,FGCRTVGTB058,CRATE VGTBL MESHED  AC-29 FREEZER  RED
,,FGCRTVGTB059,CRATE VGTBL MESHED DIP AC-29-GRN
,,FGCRTVGTB063,CRATE VGTBL MESHED DIP AC-29-ORANGE
,,FGCRTVGTB075,CRATE VGTBL MESHED  AC-29 (R ) - BLUE
