Mould Code,Mould Name,ItemNo,Description
BASN20LT0000,BASIN 20LT,FGBAS20LT005,BASIN 20LT SUPERIOR-ORANGE
,,FGBAS20LT012,BASIN 20LT SUPERIOR - LT.GREEN NEW
,,FGBAS20LT013,BASIN 20LT SUPERIOR - MARBLE GREY
,,FGBAS20LT015,BASIN 20LT SUPERIOR - PHX 01 - D. GREEN NEW
,,FGBAS20LT016,BASIN 20LT SUPERIOR - PHX 01 - LT.GREEN NEW
.,,,
BASN30LT0000,BASIN 30LT,FGBAS30LT005,BASIN 30LT SUPERIOR-RED
,,FGBAS30LT028,BASIN 30LT SUPERIOR - PHX 01 - D. GREEN NEW
,,FGBAS30LT029,BASIN 30LT SUPERIOR - PHX 01 - LT.GREEN NEW
,,FGBAS30LT030,BASIN 30LT SUPERIOR - BLACK
.,,,
BASN45LT0000,BASIN 45LT,FGBAS45LT003,BASIN 45LT SUPERIOR-GREEN
,,FGBAS45LT005,BASIN 45LT SUPERIOR-RED
,,FGBAS45LT022,BASIN 45LT SUPERIOR - LT.GREEN NEW
,,FGBAS45LT024,BASIN 45LT SUPERIOR  - D. GREEN NEW
,,FGBAS45LT025,BASIN 45LT SUPERIORˇ - D. GREEN
,,FGBAS45LT026,BASIN 45LT SUPERIOR - PHX 01 - LT.GREEN NEW
,,FGBAS45LT027,BASIN 45LT SUPERIOR-RECYCLE BLACK
.,,,
BASN60LT0000,BASIN 60LT,FGBAS60LT022,BASIN 60LT SUPERIOR - LT.GREEN NEW
,,FGBAS60LT023,BASIN 60LT SUPERIOR - MARBLE GREY
,,FGBAS60LT024,BASIN 60LT SUPERIOR  - D. GREEN NEW
,,FGBAS60LT025,BASIN 60LT SUPERIOR - PHX 01 - D. GREEN NEW
,,FGBAS60LT026,BASIN 60LT SUPERIOR - PHX 01 - LT.GREEN NEW
,,FGBAS60LT027,BASIN 60LT SUPERIOR - BLACK
,,FGBAS60LT028,BASIN 60LT SUPERIOR -RECYCLEˇ BLACK
.,,,
